"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
50,50,50,4,997,4,"Democrat",2,48,0,0
52,69,56,1,5,2,"Democrat",2,48,1,1
78,76,19,7,1,3,"Republican",4,56,1,1
71,61,50,2,7,4,"Independent",3,71,1,1
48,73,26,7,2,4,"Republican",4,35,1,0
85,84,0,5,6,4,"Democrat",2,24,0,0
84,88,68,1,7,3,"Democrat",3,66,0,1
85,86,50,7,1,7,"Independent",4,69,1,0
100,50,0,7,1,7,"Republican",5,41,1,0
50,50,1,7,1,4,"Republican",5,71,1,1
50,50,51,4,3,3,"Independent",3,74,1,0
89,85,91,1,7,1,"Democrat",1,73,0,1
100,100,28,4,7,1,"Democrat",3,65,0,0
99,96,21,6,7,1,"Democrat",4,73,1,1
50,76,50,7,4,2,"Republican",4,60,1,1
100,75,50,7,1,4,"Independent",4,77,1,1
90,90,95,1,6,4,"Democrat",3,62,1,1
60,50,5,3,3,2,NA,3,80,1,0
70,63,48,4,4,4,"Republican",3,53,1,1
49,70,95,2,7,2,"Independent",2,42,0,0
60,59,53,7,3,3,"Independent",3,31,1,1
66,51,51,7,3,4,"Republican",4,66,1,1
78,84,92,2,6,4,"Independent",1,62,1,0
95,69,29,7,1,7,"Republican",5,55,1,1
100,38,5,7,5,4,"Independent",4,73,1,0
88,96,84,2,5,1,"Independent",4,26,0,1
87,76,36,5,997,3,"Independent",3,50,1,1
51,51,10,6,2,4,"Independent",4,61,1,0
80,60,4,2,5,4,"Democrat",3,63,1,0
50,50,49,7,1,3,"Independent",3,65,0,1
97,74,74,2,5,3,"Independent",2,65,1,0
51,50,40,6,3,5,"Republican",4,38,1,1
99,0,0,3,7,5,"Democrat",2,67,1,0
75,61,3,3,2,2,"Democrat",3,59,1,0
97,53,10,3,6,4,"Democrat",4,35,1,0
100,2,6,7,1,5,"Independent",NA,45,1,0
85,85,64,7,2,3,"Independent",3,73,1,1
90,50,0,7,1,2,"Republican",4,60,1,1
67,63,76,1,7,1,"Democrat",1,56,1,1
61,50,61,2,4,3,"Republican",3,54,0,1
79,56,4,6,4,3,"Republican",4,54,1,1
50,51,41,1,997,2,"Democrat",3,69,0,1
60,40,30,7,1,1,"Republican",5,58,1,0
50,51,50,7,1,4,"Independent",4,62,1,0
70,66,0,7,1,4,"Republican",5,58,1,1
61,40,31,6,6,4,"Democrat",2,51,1,0
71,100,60,1,2,1,"Democrat",3,61,0,1
